"Rank","Player","Team","Bye","POS","AVG"
"377","Xavier Hutchinson","HOU","","WR155","378.0"
"378","Joshua Palmer","BUF","","WR156","379.0"
"379","Sam Roush","CHI","","TE64","380.0"
"380","Mitchell Evans","CAR","","TE65","381.0"
"381","Marquez Valdes-Scantling","DAL","","WR157","382.0"
"382","Diego Pavia","BAL","","QB55","383.0"
"383","Tyson Bagent","CHI","","QB56","384.0"
"384","Davis Mills","HOU","","QB57","385.0"
"385","Jarquez Hunter","LAR","","RB106","386.0"
"386","Phil Mafah","DAL","","RB107","387.0"
"387","Darius Cooper","PHI","","WR158","388.0"
"388","Cedric Tillman","CLE","","WR159","389.0"
"389","Damien Martinez","GB","","RB108","390.0"
"390","Odell Beckham Jr.","","","WR160","391.0"
"391","Caleb Lohner","DEN","","TE66","392.0"
"392","Austin Ekeler","","","RB109","393.0"
""
""
